date,TRADE_WAR,FED_POLICY,FEAR_CRISIS,EARNINGS,EUPHORIA_MOMENTUM,GEOPOLITICAL,SECTOR_TRIGGER,ENERGY_COMMODITY,LABOR_CONSUMER,TRUMP_POLICY,CRYPTO_FINTECH,AMPLIFIER_MOD,bert_sentiment,finbert_sentiment,sp500_close,sp500_return,direction,oil_close,vix_close,target
2018-05-02,2,7,1,9,6,6,10,9,5,4,5,7,-0.135229229927063,-0.016361519559593824,2635.669921875,-0.007205863568357729,Down,67.93000030517578,15.970000267028809,0
2018-05-03,5,9,3,14,7,8,9,3,4,15,0,8,-0.07445087470114231,-0.008522065383398772,2629.72998046875,-0.0022536742393085563,Down,68.43000030517578,15.899999618530273,0
2018-05-04,4,3,1,5,9,3,10,4,15,8,2,1,-0.23288720742214558,-0.09378123872772638,2663.419921875,0.012811178963797909,Up,69.72000122070312,14.770000457763672,1
2018-05-07,1,3,3,5,9,9,7,8,3,9,3,5,-0.10847743352254231,-0.03979780976217063,2672.6298828125,0.0034579455015175675,Up,70.7300033569336,14.75,1
2018-05-08,2,5,1,3,15,17,7,6,3,16,1,4,-0.13493822916195944,-0.05733048987279359,2671.919921875,-0.0002656413228280252,Down,69.05999755859375,14.710000038146973,0
2018-05-09,4,7,2,7,14,27,6,11,4,16,0,3,-0.19040933667614474,-0.07059580256496478,2697.7900390625,0.009682220255068819,Up,71.13999938964844,13.420000076293945,1
2018-05-10,2,14,5,5,9,16,16,9,3,10,3,6,-0.1218434613421216,-0.04906395662249783,2723.070068359375,0.009370643723504823,Up,71.36000061035156,13.229999542236328,1
2018-05-11,4,5,1,5,6,12,11,9,5,6,5,3,-0.16609631082679652,-0.08821748269580398,2727.719970703125,0.0017075955546570487,Up,70.69999694824219,12.649999618530273,1
2018-05-14,2,11,1,5,10,9,10,7,2,10,1,1,-0.1847855562255496,-0.037864071171651914,2730.1298828125,0.0008834895573073265,Up,70.95999908447266,12.930000305175781,1
2018-05-15,4,6,1,11,13,13,10,7,9,8,6,5,-0.20502053994998753,-0.032330073311785675,2711.449951171875,-0.006842140279927467,Down,71.30999755859375,14.630000114440918,0
